Nr.,Stadtteil,Sozialversicherungspflichtig Beschäftigte am Wohnort,Quote,Arbeitslose,Arbeitslosenquote,Jugendarbeitslosenquote
101,Altstadt-Süd,10752,53.2,1105,7.2,5.4
102,Neustadt-Süd,15171,51.2,1331,5.9,2.4
103,Altstadt-Nord,6939,52.0,603,5.9,2.6
104,Neustadt-Nord,11282,52.8,818,5.0,2.9
105,Deutz,6291,57.2,644,7.7,4.0
201,Bayenthal,3134,52.2,308,6.7,3.0
202,Marienburg,1480,41.7,187,6.9,4.1
203,Raderberg,2027,52.7,317,10.8,4.9
204,Raderthal,1472,48.8,166,7.2,3.9
205,Zollstock,7756,53.8,918,8.4,3.6
206,Rondorf,3130,49.5,246,5.1,3.6
207,Hahnwald,380,29.9,10,1.0,1.1
208,Rodenkirchen,4341,45.7,295,4.1,1.7
209,Weiß,1715,47.5,158,5.7,2.5
210,Sürth,3363,49.2,229,4.4,1.9
211,Godorf,855,54.3,124,10.3,6.7
212,Immendorf,678,51.0,65,6.4,2.9
213,Meschenich,1887,35.3,641,15.7,11.0
301,Klettenberg,3835,53.6,207,3.8,2.4
302,Sülz,14143,55.1,958,4.9,2.6
303,Lindenthal,10472,51.4,508,3.3,0.7
304,Braunsfeld,3707,52.3,272,5.0,1.7
305,Müngersdorf,1952,37.4,228,5.7,4.0
306,Junkersdorf,4102,48.0,243,3.7,2.2
307,Weiden,5362,51.5,576,7.3,3.1
308,Lövenich,2952,54.1,164,3.9,2.4
309,Widdersdorf,2602,48.2,164,4.0,2.1
401,Ehrenfeld,14508,53.2,1822,8.8,4.8
402,Neuehrenfeld,8733,53.3,889,7.1,4.6
403,Bickendorf,5400,47.9,1074,12.5,7.3
404,Vogelsang,2742,51.6,344,8.5,5.7
405,Bocklemünd/Mengenich,2901,47.1,746,15.9,7.9
406,Ossendorf,3248,48.9,526,10.4,5.1
501,Nippes,13244,53.3,1098,5.8,4.4
502,Mauenheim,2103,56.2,207,7.3,7.5
503,Riehl,3543,53.2,292,5.7,3.0
504,Niehl,6837,53.0,904,9.2,6.2
505,Weidenpesch,5224,56.0,619,8.7,6.3
506,Longerich,4609,54.4,416,6.4,4.0
507,Bilderstöckchen,5157,51.1,847,11.0,6.8
601,Merkenich,2214,57.9,139,4.8,4.8
602,Fühlingen,787,55.1,19,1.7,1.6
603,Seeberg,3301,46.8,707,13.2,6.8
604,Heimersdorf,1849,54.0,146,5.6,4.9
605,Lindweiler,991,48.1,240,15.3,11.5
606,Pesch,2500,54.0,182,5.2,3.1
607,Esch/Auweiler,2273,54.8,135,4.3,2.7
608,Volkhoven/Weiler,2167,50.9,286,8.8,5.8
609,Chorweiler,3131,38.3,1202,19.3,12.5
610,Blumenberg,2324,54.4,166,5.1,2.3
611,Roggendorf/Thenhoven,1389,50.9,245,11.8,8.8
612,Worringen,3312,54.5,314,6.8,7.1
701,Poll,3883,52.8,465,8.3,5.1
702,Westhoven,1705,53.0,188,7.7,3.0
703,Ensen,2310,50.6,300,8.6,5.6
704,Gremberghoven,764,41.7,243,17.4,9.7
705,Eil,3132,53.5,493,11.1,7.8
706,Porz,4617,49.2,829,11.6,9.0
707,Urbach,4058,53.4,643,11.1,8.6
708,Elsdorf,500,54.7,35,5.0,3.2
709,Grengel,1782,50.2,292,10.8,8.2
710,Wahnheide,2915,56.4,399,10.1,6.8
711,Wahn,2223,53.7,295,9.4,4.3
712,Lind,1244,53.7,181,10.3,17.1
713,Libur,410,54.9,14,2.5,1.6
714,Zündorf,3923,51.0,427,7.3,4.6
715,Langel,1163,52.9,85,5.1,3.9
716,Finkenberg,1573,38.9,610,19.8,10.5
801,Humboldt/Gremberg,4948,47.1,1238,15.5,8.2
802,Kalk,6812,43.9,2026,17.1,9.0
803,Vingst,3555,44.2,1066,17.4,12.8
804,Höhenberg,3932,46.8,984,15.4,8.3
805,Ostheim,3189,43.9,1000,18.1,10.9
806,Merheim,3258,49.4,380,7.6,4.9
807,Brück,3125,51.0,286,6.1,3.6
808,Rath/Heumar,3818,54.3,296,5.5,4.0
809,Neubrück,2271,45.1,569,14.8,6.2
901,Mülheim,13616,47.0,3421,15.5,12.4
902,Buchforst,2441,49.6,583,15.6,7.4
903,Buchheim,3976,47.0,967,15.0,9.4
904,Holweide,7424,52.7,1200,11.2,8.7
905,Dellbrück,7367,54.0,706,6.8,4.9
906,Höhenhaus,4756,50.8,693,9.7,6.2
907,Dünnwald,3671,50.2,669,12.0,9.3
908,Stammheim,2295,51.8,394,11.7,7.7
909,Flittard,2624,53.7,317,8.5,6.9
