Nr.,Stadtteil,Stadtfläche in Quadratkilometer,Erholungs-flächenanteil in %,Einwohner je Quadratkilometer,Einwohner insgesamt,"Einwohner mit 
Hauptwohnung","Einwohner mit 
Nebenwohnung"
101,Altstadt-Süd,2.36,4.0,11654,27515,26594,921
102,Neustadt-Süd,2.82,16.0,13606,38416,37196,1220
103,Altstadt-Nord,2.46,2.9,7298,17922,17145,777
104,Neustadt-Nord,3.49,23.1,8184,28555,27554,1001
105,Deutz,5.24,14.5,2943,15419,15037,382
201,Bayenthal,1.28,3.0,6886,8836,8645,191
202,Marienburg,3.05,23.3,1874,5711,5569,142
203,Raderberg,0.84,2.6,6786,5679,5572,107
204,Raderthal,3.21,35.3,1492,4784,4705,79
205,Zollstock,5.03,23.0,4349,21888,21444,444
206,Rondorf,8.15,10.9,1175,9579,9480,99
207,Hahnwald,2.99,4.2,705,2110,2080,30
208,Rodenkirchen,7.86,17.8,2027,15933,15587,346
209,Weiß,4.16,6.1,1413,5875,5796,79
210,Sürth,3.42,6.2,3101,10606,10437,169
211,Godorf,4.59,1.3,520,2388,2364,24
212,Immendorf,5.2,0.8,379,1971,1957,14
213,Meschenich,4.72,2.6,1648,7780,7710,70
301,Klettenberg,1.8,41.2,5877,10562,10361,201
302,Sülz,5.17,41.7,6954,35967,34970,997
303,Lindenthal,7.73,31.5,3877,29963,29137,826
304,Braunsfeld,1.68,1.2,6414,10749,10511,238
305,Müngersdorf,5.1,16.1,1590,8105,7976,129
306,Junkersdorf,7.38,3.5,1799,13270,12991,279
307,Weiden,3.65,8.0,4510,16484,16248,236
308,Lövenich,3.69,2.6,2352,8684,8586,98
309,Widdersdorf,5.6,17.3,1673,9365,9281,84
401,Ehrenfeld,3.72,4.3,9821,36518,35618,900
402,Neuehrenfeld,2.55,14.3,9286,23679,23226,453
403,Bickendorf,2.31,6.7,7267,16769,16600,169
404,Vogelsang,3.66,16.7,2252,8247,8154,93
405,Bocklemünd/Mengenich,4.93,7.7,2099,10350,10257,93
406,Ossendorf,6.81,22.8,1459,9930,9834,96
501,Nippes,3.0,22.6,11664,34936,34241,695
502,Mauenheim,0.49,14.5,11567,5651,5569,82
503,Riehl,2.39,23.5,4686,11198,11029,169
504,Niehl,12.06,7.6,1615,19481,19228,253
505,Weidenpesch,3.91,21.9,3525,13775,13559,216
506,Longerich,6.14,14.9,2194,13474,13317,157
507,Bilderstöckchen,3.76,18.8,4100,15430,15287,143
601,Merkenich,12.2,3.9,470,5734,5684,50
602,Fühlingen,4.86,14.9,432,2102,2079,23
603,Seeberg,1.78,25.1,6316,11245,11183,62
604,Heimersdorf,1.75,10.5,3316,5788,5745,43
605,Lindweiler,1.16,12.5,3043,3519,3495,24
606,Pesch,2.83,16.2,2685,7605,7537,68
607,Esch/Auweiler,7.61,4.5,876,6667,6609,58
608,Volkhoven/Weiler,4.35,5.0,1398,6084,6045,39
609,Chorweiler,1.92,31.1,6781,13010,12950,60
610,Blumenberg,3.22,7.2,1786,5755,5710,45
611,Roggendorf/Thenhoven,13.76,5.4,290,3989,3958,31
612,Worringen,11.72,4.5,802,9397,9311,86
701,Poll,5.17,12.4,2200,11367,11211,156
702,Westhoven,4.21,27.5,1166,4913,4810,103
703,Ensen,1.62,10.0,4342,7030,6950,80
704,Gremberghoven,6.0,3.4,477,2862,2835,27
705,Eil,16.25,4.8,555,9020,8915,105
706,Porz,3.12,6.2,4622,14408,14214,194
707,Urbach,2.29,9.7,5276,12092,11955,137
708,Elsdorf,1.77,3.5,915,1616,1597,19
709,Grengel,10.66,0.9,499,5314,5234,80
710,Wahnheide,2.88,4.4,2674,7692,7536,156
711,Wahn,2.26,10.3,2866,6483,6412,71
712,Lind,2.24,7.5,1509,3384,3320,64
713,Libur,6.38,10.0,170,1084,1075,9
714,Zündorf,8.12,6.9,1471,11945,11802,143
715,Langel,5.33,2.3,603,3211,3173,38
716,Finkenberg,0.64,14.7,10381,6618,6577,41
801,Humboldt/Gremberg,2.82,10.8,5374,15159,14968,191
802,Kalk,2.97,5.2,7544,22383,22033,350
803,Vingst,1.12,14.9,11445,12866,12783,83
804,Höhenberg,2.19,32.3,5570,12224,12061,163
805,Ostheim,3.74,22.5,3097,11596,11507,89
806,Merheim,3.8,7.8,2787,10601,10496,105
807,Brück,7.5,9.1,1325,9940,9828,112
808,Rath/Heumar,12.91,1.4,877,11329,11189,140
809,Neubrück,1.1,9.6,8005,8787,8734,53
901,Mülheim,7.07,9.0,5917,41814,41170,644
902,Buchforst,0.83,11.4,8828,7333,7250,83
903,Buchheim,2.85,17.0,4419,12616,12467,149
904,Holweide,4.11,13.7,5102,20974,20673,301
905,Dellbrück,9.95,5.0,2160,21487,21179,308
906,Höhenhaus,5.07,7.1,2966,15048,14935,113
907,Dünnwald,10.84,4.7,1068,11576,11463,113
908,Stammheim,3.74,7.6,1988,7440,7357,83
909,Flittard,7.74,18.0,1020,7894,7815,79
